period,title,description,url,published_at,source_name,author,url_to_image
2_weeks,Tesla proposes giving Elon Musk $29 billion so he stays CEO,"Tesla approved a restricted stock award of 96 million shares, worth about $29 billion, to “incentivize” the controversial billionaire to remain at the head of the company during a protracted legal battle over his original pay package. Last year, a Delaware co…",https://www.theverge.com/news/718032/tesla-elon-musk-stock-pay-29-billion-ceo-shareholders,2025-08-04T12:59:50Z,The Verge,Andrew J. Hawkins,https://platform.theverge.com/wp-content/uploads/sites/2/2025/01/STK022_ELON_MUSK_CVIRGINIA_F.jpg?quality=90&strip=all&crop=0%2C9.9676601489831%2C100%2C80.064679702034&w=1200
2_weeks,Rivian calls Ohio’s ban on direct car sales ‘irrational in the extreme’ in new lawsuit,"Rivian is suing Ohio’s department of motor vehicles over the state’s ban on car companies bypassing dealerships to sell cars directly to consumers. In the federal lawsuit, the electric vehicle company calls the ban “irrational in the extreme,” arguing that it…",https://www.theverge.com/news/718186/rivian-ohio-lawsuit-direct-sales-ban,2025-08-04T17:10:21Z,The Verge,Andrew J. Hawkins,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/2025RivianR1SPeterNelson27.jpg?quality=90&strip=all&crop=0%2C10.555483971064%2C100%2C78.889032057873&w=1200
2_weeks,Elon Musk Pushes View That Women Are ‘Anti-White’ Because They’re ‘Weak’,The Tesla CEO retweeted an extremely racist account Wednesday.,https://gizmodo.com/elon-musk-pushes-view-that-women-are-anti-white-because-theyre-weak-2000636625,2025-07-30T17:00:51Z,Gizmodo.com,Matt Novak,https://gizmodo.com/app/uploads/2025/07/elon-musk-april-30-2025-1200x675.jpg
2_weeks,Tesla Ordered to Pay More Than $200 Million Over Fatal Autopilot Crash,The company was found partially liable.,https://gizmodo.com/tesla-ordered-to-pay-more-than-200-million-over-fatal-autopilot-crash-2000637996,2025-08-01T20:35:44Z,Gizmodo.com,AJ Dellinger,https://gizmodo.com/app/uploads/2024/05/69e775cd3e32cf4af542762a678be4b6.jpg
2_weeks,Tesla Approves Elon Musk’s $29 Billion Pay Package Despite Political Risks,"Amid falling sales, Tesla's board still thinks Musk is worth all the trouble.",https://gizmodo.com/tesla-approves-elon-musks-29-billion-pay-package-despite-political-risks-2000638504,2025-08-04T15:45:09Z,Gizmodo.com,Bruce Gil,https://gizmodo.com/app/uploads/2025/07/elon-musk-april-30-2025-1200x675.jpg
2_weeks,Elon Musk Gave Millions to Trump After Publicly Blowing Up Their Bromance,"Musk seems to still want to be in Trump's good graces, even after accusing the President of being in the Epstein files.",https://gizmodo.com/elon-musk-gave-millions-to-trump-after-publicly-blowing-up-their-bromance-2000637951,2025-08-01T21:00:40Z,Gizmodo.com,Lucas Ropek,https://gizmodo.com/app/uploads/2025/06/elon-musk-trump-1200x675.jpg
2_weeks,"So Far, Elon Musk’s Revival of Vine Is Seriously Disappointing",Six seconds in hell.,https://gizmodo.com/so-far-elon-musks-revival-of-vine-is-seriously-disappointing-2000638604,2025-08-04T20:10:55Z,Gizmodo.com,Lucas Ropek,https://gizmodo.com/app/uploads/2025/08/Elon-Musk1-1200x675.jpg
2_weeks,The U.S. May Change Strategy in Its Battle With China for AI Dominance,"China’s AI messaging is starting to sound like “AI for all,” but the United States is split on its own tactic.",https://gizmodo.com/the-u-s-may-change-strategy-in-its-battle-with-china-for-ai-dominance-2000636223,2025-07-29T18:59:24Z,Gizmodo.com,Ece Yildirim,https://gizmodo.com/app/uploads/2024/11/TrumpXi.jpg
2_weeks,Tesla found partly to blame for fatal Autopilot crash,The company's self-driving technology failed to prevent a 2019 crash which killed a 22-year-old woman and severely injured her boyfriend in Florida.,https://www.bbc.com/news/articles/c93dqpkwx4xo,2025-08-01T23:17:40Z,BBC News,,https://ichef.bbci.co.uk/news/1024/branded_news/cc2c/live/19375f90-6f0e-11f0-8dbd-f3d32ebd3327.jpg
2_weeks,Samsung's smartphone success stood out even as Q2 profits take a 55% hit,"Samsung’s Q2 2025 results remind us it’s still a powerhouse, just one that's in a whole lot of trouble.",https://www.androidcentral.com/phones/samsung-galaxy/samsungs-smartphone-success-stood-out-even-as-q2-profits-take-a-55-percent-hit,2025-07-31T12:37:38Z,Android Central,"techkritiko@gmail.com (Jay Bonggolto) , Jay Bonggolto",https://cdn.mos.cms.futurecdn.net/HssvJK6hy6FGRuF6cvyiAF.jpg
